Tickers,marketcap
SNX,10791320702
LSI,10790702293
DVA,10782038751
APA,10698428412
CROX,10626071837
ERIE,10625915353
DBX,10601760977
XLRN,10579737133
JEF,10568954272
GH,10551924250
UHS,10518392163
REXR,10511703654
RS,10452647013
CLDR,#N/A
GWRE,10430575150
MIDD,10418251226
JNPR,10415550236
TAP,10351005228
OLN,10336961746
NWL,10320201671
FICO,10277711711
ZION,10245223957
HRC,10218402669
ACM,10195253102
PFPT,10159620000
TPL,10046658206
AGL,10042151895
KNX,10002234492
AZPN,9966200011
PEN,9963207795
FRT,9946161681
SYNH,9925398366
PENN,9874213800
SMG,9870683078
SYNA,9850055343
NI,9849031338
NTLA,9840476944
CACC,9809009449
SEE,9796121410
LAD,9774847780
TTEK,9717132120
AA,9714392609
PEGA,9700576294
MRVI,9690573952
ARMK,9688970902
DOX,9687725208
ST,9630392128
AGCO,9584760630
G,9583359067
Y,9555648986
OC,9540198049
GL,9534455879
CPRI,9530054080
CNXC,9527931493
CIEN,9514196007
NCLH,9483945479
VST,9483628225
M,9433607924
VRT,9417715971
JBL,9373926509
UGI,9371722994
OVV,9370318956
GPS,9334925985
STNE,9332814290
PLTK,9323274485
STOR,9317280331
H,9313137344
FHN,9284680975
OSH,9280519706
BERY,9277200164
MKSI,9234461134
RL,9195503486
SMAR,9174169557
CNST,#N/A
XPO,9159665189
UTHR,9157271627
AIZ,9128808545
DLB,9117768912
SAIA,9077165759
IPGP,9066769305
SEIC,9010240974
PLAN,8959531687
ITT,8877575921
GNTX,8874230508
BLD,8858827325
COTY,8847729146
CHDN,8805712453
PAG,8781570851
NRG,8740738206
CSOD,#N/A
DNB,8731577250
VNO,8727231143
ARW,8696685937
CTVA,#N/A
WSC,8673984080
TNDM,8670309011
ATR,8655605740
CHPT,8652190905
TSP,8638224412
KSS,8631631050
TPX,8630223652
YETI,8577487436
JAZZ,8576858794
CBSH,8549052900
PVH,8546079144
OGN,8544466693
BRKS,8535208138
BJ,8520339568
LECO,8518895607
THC,8476864259
ZNGA,8468568295
CFR,8461352194
AIRC,8442674620
AIV,8442674620
AN,8433447375
AGNC,8419529612
DXC,8409641630
MSTR,8407574445
NBIX,8348268720
BFAM,8347847371
FAF,8339623114
KRC,8308370117
LW,8254325038
MP,8245706416
EGP,8222291215
CHH,8187524381
SLAB,8157205803
OLED,8131534502
JHG,8128351685
LFUS,8125364317
NNN,8097690755
EQT,8072982326
COLD,8069776000
HLI,8066865273
CFX,8044010334
NYT,8041241496
PSTG,8039087017
SF,8029888826
WK,7992371364
PLNT,7992152913
BHVN,7991152500
MEDP,7973827909
MAT,7963255315
OSK,7963129926
NEWR,7957332188
ORI,7951525212
WH,7932229263
ATUS,7910972466
PBCT,7901248808
BC,7835197159
FR,7813740797
OMCL,7790593896
TOL,7788664635
FFIN,7753385841
AYI,7733002653
CHE,7725384984
FOXF,7716817403
DCI,7709862470
ARWR,7708925502
CREE,#N/A
PNFP,7705006483
HII,7692511470
SWAV,7684015503
INSP,7635918890
RGA,7588792983
AXTA,7583801830
USFD,7574880400
NLSN,7569778920
MARA,7564222207
HTA,7563704925
NTNX,7555532977
PII,7539708680
RPD,7532649431
STWD,7532360930
BL,7523125890
AMG,7518053370
ADT,7478080013
WOOF,7473295846
WWD,7458126611
PNW,7457322507
GMED,7444717466
DSSI,#N/A
ACC,7433745317
SKX,7432061844
VOYA,7427758428
CASY,7401526061
SRPT,7396313797
CHK,7392671928
SPT,7383116875
CWEN,7373561156
BOKF,7373465585
MRTX,7370891435
HUN,7367257552
COR,7362898012
WU,7344660766
STAG,7250927796
BRX,7246516846
SNV,7202789550
IAA,7199433196
RNR,7196589059
PFGC,7186430874
AMBA,7165857509
VAC,7164063245
TNET,7141562519
X,7134143176
PB,7124949830
MTZ,7107888387
OMF,7053822670
BBIO,7047217957
PPC,7047092586
VICR,7033158764
RCM,7012282155
RGLD,7004155155
WCC,6988330228
BYD,6987890185
NVST,6987247266
GTLS,6977706215
ALK,6973234571
EME,6942939448
EVR,6936626931
SGMS,6933451180
COLM,6928012751
IIVI,6920308116
OGE,6894009505
NXST,6876678074
OHI,6868115579
CVAC,6859404658
WTS,6858625401
LSTR,6842776531
POST,6792468236
DDS,6770624634
BPOP,6748732987
WEX,6742949206
APPS,6738674716
BPMC,6728128640
NCNO,6698120252
IIPR,6688438153
DD,#N/A
EXPI,6677524372
ROLL,6673155089
EXP,6659949521
CHNG,6653537662
VRNS,6643337193
LITE,6637140220
GT,6624438160
ASGN,6617741825
INGR,6608348547
CACI,6592460084
GBCI,6564822398
SHC,6524063562
AZEK,6521957510
EXPO,6490487484
ASH,6455346764
PRI,6395381086
APPN,6383711191
ESI,6383112912
DEI,6361356625
EHC,6357570262
VVV,6355542668
COHR,6354619390
GPK,6344667359
TXRH,6336998401
THO,6334410886
INOV,6332496719
KBR,6305824342
BEAM,6275987658
CR,6273812995
FSR,6265456910
ALGM,6254491656
POWI,6249758510
EEFT,6248638748
REYN,6244567204
NVT,6233195541
CERT,6221109277
IGT,6219443465
ALTR,6211513781
CELH,6208099591
DNLI,6202754256
RVLV,6195026098
CADE,6154648125
HBI,6152983583
HGV,6129662732
AMEH,6106507083
SON,6096231220
UPWK,6092373369
OZK,6063533532
AR,6046291871
PACB,6026745488
BE,5992140262
QDEL,5987813406
MSA,5983923877
HELE,5979294574
RRC,5977876106
SRC,5964770603
AMED,5959396132
FSLY,5946675071
LEG,5941949703
CUZ,5940085713
LPX,5933989165
HAYW,5915660519
HOG,5907334097
NATI,5906985942
SAM,5890878958
SHLS,5881265100
MDU,5876835152
VLY,5860131684
FIZZ,5855851335
TENB,5849289320
NOVT,5842972369
SWCH,5839667314
TKR,5837390601
SSB,5834155687
ACHC,5821532337
RRR,5821258127
HRI,5810366740
KOD,5809402157
CERE,5792252460
SMTC,5791842952
PRGO,5789846407
NYCB,5780208685
NCR,5778959838
CLH,5773669025
IART,5770579427
APG,5752648948
TWST,5741535819
EXEL,5726791250
SRCL,5717553896
TRNO,5707896567
FL,5703189401
AMKR,5697434643
VNT,5682093259
PACW,5672932489
FOUR,5670088578
NFE,5655639919
NKLA,5653200060
HQY,5651887115
SI,5634642000
HFC,5617493584
MAN,5610031839
TFSL,5603993294
SAIL,5584627461
IRDM,5556462507
SPWR,5551191364
DV,5523775111
FLO,5522546911
NSA,5499093043
SLM,5491212567
PGNY,5490927319
NFG,5489128777
RARE,5489103493
HALO,5485061391
PDCE,5483530437
UFPI,5472735519
RYN,5472712363
SIG,5466415251
AQUA,5454966544
ELY,5433462927
HASI,5427175014
QLYS,5416738597
UNM,5415967870
AVNT,5413544787
FRPT,5407755403
AL,5407547867
XOG,#N/A
CC,5403780103
MIME,5402541803
VMI,5397309038
STAA,5396920749
